t_sec,motion,wp_idx,avoid,L_cmd_x,L_cmd_y,L_cmd_z,F1_cmd_x,F1_cmd_y,F1_cmd_z,F2_cmd_x,F2_cmd_y,F2_cmd_z,F1_nom_x,F1_nom_y,F1_nom_z,F2_nom_x,F2_nom_y,F2_nom_z,L_odom_x,L_odom_y,L_odom_z,F1_odom_x,F1_odom_y,F1_odom_z,F2_odom_x,F2_odom_y,F2_odom_z
1775601947.765357,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,-0.004101,0.016415,-4.990133,1.941673,0.025049,-5.006317,3.869726,0.004733,-4.967197
1775601948.265426,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,0.650142,0.013101,-5.206065,2.613442,0.007114,-5.219311,4.585025,0.011951,-5.182147
1775601948.765333,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,3.438168,-0.015456,-5.196230,5.352368,0.000534,-5.205868,7.360525,0.014442,-5.170626
1775601949.265599,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,7.869018,-0.059002,-5.030413,9.857262,0.035415,-5.028937,11.799136,-0.003135,-5.001541
1775601949.765373,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,11.669381,-0.063638,-5.064054,13.684954,0.043951,-5.068516,15.683599,-0.010723,-5.028585
1775601950.265446,1,1,1,15.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,17.000000,0.000000,-5.000000,19.000000,0.000000,-5.000000,13.948299,-0.041359,-5.069545,15.971485,0.016382,-5.087039,17.955851,-0.001683,-5.043324
1775601950.765431,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,14.821918,-0.001902,-5.114261,16.832767,0.000473,-5.137180,18.839689,0.008131,-5.100210
1775601951.265358,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,16.579124,0.032672,-5.213623,18.573267,0.004068,-5.230660,20.642530,0.016008,-5.203290
1775601951.765485,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,20.497934,0.049008,-5.062797,22.564285,-0.004810,-5.068897,24.585209,0.018497,-5.040235
1775601952.265543,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,25.075844,0.028363,-4.961146,27.079401,-0.034306,-4.960853,29.133863,0.011921,-4.945550
1775601952.765305,1,2,1,30.000000,0.000000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.900000,-5.000000,32.000000,0.000000,-5.000000,34.000000,0.000000,-5.000000,28.170500,0.007698,-4.999413,30.220446,-0.045583,-4.988433,32.185394,0.011356,-4.985256
1775601953.265341,1,3,1,38.000000,0.000000,-5.000000,40.000000,0.900000,-5.000000,42.000000,2.400000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,29.589153,0.011933,-4.961676,31.606112,-0.023223,-4.952301,33.562069,0.165649,-4.950943
1775601953.765713,1,3,1,38.000000,0.000000,-5.000000,40.000000,2.400000,-5.000000,42.000000,4.620000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,30.639711,0.031798,-5.144897,32.677120,0.123589,-5.131194,34.617626,0.809645,-5.120962
1775601954.265419,1,3,1,38.000000,0.000000,-5.000000,40.000000,4.620000,-5.000000,42.000000,6.000000,-5.000000,40.000000,0.000000,-5.000000,42.000000,0.000000,-5.000000,33.150372,0.042833,-4.989128,35.137756,0.706619,-4.993895,37.135563,1.958903,-5.006944
